model	method	threads	common_solved	wall_speedup_gmean	cpu_efficiency_gmean	rss_inverse_ratio_gmean
sc	caat	2	445	0.9688988439059881	0.8386719094371111	0.9990111610876508
sc	caat	4	434	1.0463230980332086	0.8295434708613079	0.9962163412499613
sc	caat	8	428	1.0350967594614309	0.7532153533943376	0.9779329785120373
sc	cat	2	417	1.0062148552136583	0.8893166220665916	0.9964245795671607
sc	cat	4	404	0.9913148055490926	0.8324122280336551	0.9941314806906862
sc	cat	8	398	0.9517267689931619	0.766407178563741	0.9914647882157519
sc	genmc	2	471	0.9491116153071558	0.8203235346997061	0.9654790626367318
sc	genmc	4	460	0.9996393458123292	0.7829779379996792	0.9291658210577415
sc	genmc	8	456	1.015385590905331	0.732684466612295	0.9473419787271878
tso	caat	2	444	0.9428210092386791	0.8261089150216574	0.9991323042613879
tso	caat	4	427	1.0047041945933652	0.8093420835811329	0.9959814245700468
tso	caat	8	419	0.9851047264203951	0.7361263910018049	0.9775826513979425
tso	cat	2	402	1.0382823916601518	0.9213932726846354	0.997445306413932
tso	cat	4	396	1.0034682330202647	0.8400925495965734	0.9948607342754856
tso	cat	8	391	0.9326550073597739	0.7480613531644951	0.9891824509001551
tso	genmc	2	471	0.932253382217964	0.8105137739936056	0.9666619823775173
tso	genmc	4	462	1.0127967344398372	0.7983154233832641	0.9396703492930268
tso	genmc	8	454	1.009586804740694	0.7307650525052111	0.9496371003891787
pso	caat	2	392	1.0031084302558926	0.8820120563034446	0.998699536389236
pso	caat	4	380	0.9694362706230492	0.8218133846852301	0.9951779025138259
pso	caat	8	377	0.9188622611863745	0.7393003627087382	0.9894302248207529
pso	cat	2	404	1.0256959101885934	0.9140238036848091	0.9974837176870405
pso	cat	4	402	0.9834540468466925	0.8328275242472052	0.995856888466407
pso	cat	8	392	0.9100095765731697	0.7348212958683114	0.9893602325662061
